2018-08-08 02:03:36 status unpacked e2fsprogs:amd64 1.42.13-1ubuntu1
2018-08-08 02:03:36 status unpacked e2fsprogs:amd64 1.42.13-1ubuntu1
2018-08-08 02:03:36 install findutils:amd64 <none> 4.6.0+git+20160126-2
2018-08-08 02:03:36 status half-installed findutils:amd64 4.6.0+git+20160126-2
2018-08-08 02:03:36 status unpacked findutils:amd64 4.6.0+git+20160126-2
2018-08-08 02:03:36 status unpacked findutils:amd64 4.6.0+git+20160126-2
2018-08-08 02:03:36 install gcc-6-base:amd64 <none> 6.0.1-0ubuntu1
2018-08-08 02:03:36 status half-installed gcc-6-base:amd64 6.0.1-0ubuntu1
2018-08-08 02:03:36 status unpacked gcc-6-base:amd64 6.0.1-0ubuntu1
2018-08-08 02:03:36 status unpacked gcc-6-base:amd64 6.0.1-0ubuntu1
2018-08-08 02:03:36 install grep:amd64 <none> 2.24-1
2018-08-08 02:03:36 status half-installed grep:amd64 2.24-1
2018-08-08 02:03:36 status unpacked grep:amd64 2.24-1
2018-08-08 02:03:36 status unpacked grep:amd64 2.24-1
2018-08-08 02:03:36 install gzip:amd64 <none> 1.6-4ubuntu1
2018-08-08 02:03:36 status half-installed gzip:amd64 1.6-4ubuntu1
2018-08-08 02:03:36 status unpacked gzip:amd64 1.6-4ubuntu1
2018-08-08 02:03:36 status unpacked gzip:amd64 1.6-4ubuntu1
2018-08-08 02:03:36 install hostname:amd64 <none> 3.16ubuntu2
2018-08-08 02:03:36 status half-installed hostname:amd64 3.16ubuntu2
2018-08-08 02:03:36 status unpacked hostname:amd64 3.16ubuntu2
2018-08-08 02:03:36 status unpacked hostname:amd64 3.16ubuntu2
2018-08-08 02:03:36 install init:amd64 <none> 1.29ubuntu1
2018-08-08 02:03:36 status half-installed init:amd64 1.29ubuntu1
2018-08-08 02:03:36 status unpacked init:amd64 1.29ubuntu1
2018-08-08 02:03:36 status unpacked init:amd64 1.29ubuntu1
2018-08-08 02:03:36 install init-system-helpers:all <none> 1.29ubuntu1
2018-08-08 02:03:36 status half-installed init-system-helpers:all 1.29ubuntu1
2018-08-08 02:03:36 status unpacked init-system-helpers:all 1.29ubuntu1
2018-08-08 02:03:36 status unpacked init-system-helpers:all 1.29ubuntu1
2018-08-08 02:03:36 install initscripts:amd64 <none> 2.88dsf-59.3ubuntu2
2018-08-08 02:03:36 status half-installed initscripts:amd64 2.88dsf-59.3ubuntu2
